intervention,fpr,tpr
renal replacement,0.0,0.0
renal replacement,0.0,0.03225806451612903
renal replacement,0.0,0.4838709677419355
renal replacement,0.030303030303030304,0.4838709677419355
renal replacement,0.030303030303030304,0.6774193548387096
renal replacement,0.06060606060606061,0.6774193548387096
renal replacement,0.06060606060606061,0.7741935483870968
renal replacement,0.21212121212121213,0.7741935483870968
renal replacement,0.21212121212121213,0.8064516129032258
renal replacement,0.24242424242424243,0.8064516129032258
renal replacement,0.24242424242424243,0.8387096774193549
renal replacement,0.36363636363636365,0.8387096774193549
renal replacement,0.36363636363636365,0.8709677419354839
renal replacement,0.45454545454545453,0.8709677419354839
renal replacement,0.45454545454545453,0.9354838709677419
renal replacement,0.48484848484848486,0.9354838709677419
renal replacement,0.48484848484848486,0.967741935483871
renal replacement,0.696969696969697,0.967741935483871
renal replacement,0.696969696969697,1.0
renal replacement,1.0,1.0
